Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)"
"2024-05-31 00:00:00";424;3,3;16,2;21,3;19
"2024-06-01 00:00:00";396;4,9;14,7;22,2;9
"2024-06-02 00:00:00";381;4,1;13,7;20,0;8
"2024-06-03 00:00:00";395;7,1;19,5;30,3;14
"2024-06-04 00:00:00";348;5,2;12,5;20,5;10
"2024-06-05 00:00:00";358;5,4;18,5;26,8;16
"2024-06-06 00:00:00";395;10,6;27,4;43,6;22
"2024-06-07 00:00:00";333;5,6;20,7;29,2;22
"2024-06-08 00:00:00";322;8,7;23,9;37,3;16
"2024-06-09 00:00:00";252;5,3;15,2;23,3;13
"2024-06-10 00:00:00";278;4,9;13,1;20,7;18
"2024-06-11 00:00:00";232;2,6;10,4;14,4;21
"2024-06-12 00:00:00";171;2,1;10,8;14,1;20
"2024-06-13 00:00:00";252;5,0;13,1;20,7;13
"2024-06-14 00:00:00";291;5,8;18,1;27,0;14
"2024-06-15 00:00:00";323;13,1;23,8;43,9;20
"2024-06-16 00:00:00";267;6,1;17,1;26,4;13
"2024-06-17 00:00:00";313;9,1;20,0;34,0;12
"2024-06-18 00:00:00";351;12,9;27,5;47,3;22
"2024-06-19 00:00:00";377;10,0;28,1;43,4;28
"2024-06-20 00:00:00";414;5,1;19,0;26,7;28
"2024-06-21 00:00:00";371;4,2;16,9;23,2;32
"2024-06-22 00:00:00";355;2,7;10,9;15,0;25
"2024-06-23 00:00:00";341;2,5;10,2;14,0;13
"2024-06-24 00:00:00";325;2,5;10,9;14,7;16
"2024-06-25 00:00:00";316;2,7;12,2;16,2;20
"2024-06-26 00:00:00";342;3,7;14,7;20,3;31
"2024-06-27 00:00:00";317;4,9;16,5;24,0;28
"2024-06-28 00:00:00";336;6,4;19,0;28,8;29
"2024-06-29 00:00:00";342;6,8;23,6;34,0;30
"2024-06-30 00:00:00";337;8,2;22,9;35,4;34
"2024-07-01 00:00:00";237;3,7;8,2;13,8;17
"2024-07-02 00:00:00";247;4,4;6,7;13,5;18
"2024-07-03 00:00:00";252;6,0;10,7;19,9;18
"2024-07-04 00:00:00";256;6,4;11,7;21,5;20
"2024-07-05 00:00:00";256;7,5;15,0;26,4;16
"2024-07-06 00:00:00";279;8,9;20,7;34,3;26
"2024-07-07 00:00:00";268;7,7;19,8;31,6;22
"2024-07-08 00:00:00";250;9,6;16,7;31,3;26
"2024-07-09 00:00:00";257;9,8;15,1;30,1;32
"2024-07-10 00:00:00";305;15,9;21,3;45,6;35
"2024-07-11 00:00:00";253;12,3;20,4;39,3;39
"2024-07-12 00:00:00";257;12,9;19,0;38,7;38
"2024-07-13 00:00:00";247;12,1;17,7;36,1;37
"2024-07-14 00:00:00";259;10,2;14,2;29,8;31
"2024-07-15 00:00:00";256;9,1;18,6;32,5;43
"2024-07-16 00:00:00";273;7,9;18,3;30,3;47
"2024-07-17 00:00:00";263;8,0;16,2;28,5;48
"2024-07-18 00:00:00";247;7,6;15,4;27,1;34
"2024-07-19 00:00:00";241;7,5;14,9;26,4;41
"2024-07-20 00:00:00";242;6,9;14,8;25,3;25
"2024-07-21 00:00:00";250;6,3;13,8;23,4;17
"2024-07-22 00:00:00";266;7,4;16,8;28,1;24
"2024-07-23 00:00:00";241;6,7;13,7;24,0;21
"2024-07-24 00:00:00";217;6,6;10,3;20,4;18
"2024-07-25 00:00:00";228;5,9;10,4;19,4;13
"2024-07-26 00:00:00";232;10,9;18,6;35,3;19
"2024-07-27 00:00:00";194;11,6;22,4;40,2;26
"2024-07-28 00:00:00";;;;;
"2024-07-29 00:00:00";181;8,5;10,5;23,6;13
"2024-07-30 00:00:00";202;10,3;16,0;31,8;18
"2024-07-31 00:00:00";273;14,1;27,3;48,9;41
"2024-08-01 00:00:00";337;18,5;27,8;56,1;28
"2024-08-02 00:00:00";298;12,1;19,8;38,3;22
"2024-08-03 00:00:00";282;6,7;8,7;18,9;17
"2024-08-04 00:00:00";297;7,0;10,7;21,4;9
"2024-08-05 00:00:00";311;6,9;9,8;20,4;12
"2024-08-06 00:00:00";347;8,0;13,5;25,7;12
"2024-08-07 00:00:00";447;13,2;23,7;43,9;27
"2024-08-08 00:00:00";446;11,4;22,4;39,9;27
"2024-08-09 00:00:00";358;8,4;12,9;25,8;15
"2024-08-10 00:00:00";372;9,6;17,1;31,7;15
"2024-08-11 00:00:00";400;9,6;17,2;32,0;17
"2024-08-12 00:00:00";420;15,5;24,7;48,5;28
"2024-08-13 00:00:00";;;;;
"2024-08-14 00:00:00";;;;;
