Dátum,Utolsó ár
2017-09-05,37736.1
2017-09-06,37878.86
2017-09-07,37783.51
2017-09-08,37596.75
2017-09-11,37895.85
2017-09-12,38076.88
2017-09-13,38119.09
2017-09-14,38243.2
2017-09-15,38325.93
2017-09-18,38387.22
2017-09-19,38176.08
2017-09-20,38108.04
2017-09-21,38109.21
2017-09-22,38178.63
2017-09-25,38107.87
2017-09-26,37319.24
2017-09-27,37244.3
2017-09-28,37191.65
2017-09-29,37290.65
2017-10-02,37751.85
2017-10-03,37908.57
2017-10-04,37923.24
2017-10-05,37876.47
2017-10-06,37941.82
2017-10-09,38008.75
2017-10-10,38031.67
2017-10-11,38453.12
2017-10-12,38772.08
2017-10-13,38894.88
2017-10-16,39119.89
2017-10-17,38909.78
2017-10-18,39081.77
2017-10-19,39098.21
2017-10-20,39132.62
2017-10-23,39341.68
2017-10-24,39411.36
2017-10-25,39840.92
2017-10-26,39889.6
2017-10-27,39667.13
2017-10-30,39881.22
2017-10-31,39611.64
2017-11-01,39880.75
2017-11-02,40149.86
2017-11-03,39762.67
2017-11-06,40115.77
2017-11-07,39809
2017-11-08,40122.07
2017-11-09,40273.66
2017-11-10,39435.24
2017-11-13,39254
2017-11-14,39140.44
2017-11-15,38615.11
2017-11-16,38982.3
2017-11-17,39279.75
2017-11-20,39359.28
2017-11-21,39554.05
2017-11-22,40131.37
2017-11-23,39962.72
2017-11-24,39709
2017-11-27,39424.29
2017-11-28,39242.18
2017-11-29,38819.26
2017-11-30,38673.73
2017-12-01,38188.81
2017-12-04,37805.37
2017-12-05,37558.76
2017-12-06,37591.53
2017-12-07,38348.2
2017-12-08,38232.56
2017-12-11,37575.75
2017-12-12,38018.26
2017-12-13,38228.16
2017-12-14,38616.19
2017-12-15,38657.37
2017-12-18,38744.18
2017-12-19,38807.09
2017-12-20,38846.6
2017-12-21,39140.22
2017-12-22,39027.55
2017-12-25,39125.61
2017-12-26,39158.3
2017-12-27,39190.99
2017-12-28,39178.8
2017-12-29,39377.31
2018-01-01,39427
2018-01-02,39443.57
2018-01-03,39604.4
2018-01-04,39850
2018-01-05,39995.16
2018-01-08,40104.03
2018-01-09,39869.56
2018-01-10,39651.23
2018-01-11,39772.75
2018-01-12,39877.86
2018-01-15,39579.11
2018-01-16,39684.16
2018-01-17,39543.26
2018-01-18,39663.92
2018-01-19,40021.89
2018-01-22,41002.39
2018-01-23,41516.41
2018-01-24,40979.77
2018-01-25,40431.65
2018-01-26,40785.87
2018-01-29,40500.12
2018-01-30,39926.42
2018-01-31,40188.51
2018-02-01,40238.27
2018-02-02,39951.46
2018-02-05,39769.45
2018-02-06,38806.19
2018-02-07,39698.1
2018-02-08,38875.93
2018-02-09,38320.32
2018-02-12,38287.22
2018-02-13,38387.29
2018-02-14,38454.35
2018-02-15,38522.5
2018-02-16,39138.87
2018-02-19,39006.35
2018-02-20,38667.08
2018-02-21,38971.94
2018-02-22,38643.99
2018-02-23,38240.09
2018-02-26,38620.84
2018-02-27,38462.63
2018-02-28,38112
