StationNumber;StartDate; EndDate;Latitude;Longitude;Elevation;StationName                             ;RegioName             ;EOR
        47800; 20120901;20250606; 46.3392;  19.8508;     96.0;Üllés                                   ;Csongrád-Csanád       ;EOR
        48101; 19950503;20250606; 46.1797;  19.0106;    111.0;Baja Csillagvizsgáló                    ;Bács-Kiskun           ;EOR
        48302; 19980915;20250606; 46.1956;  19.6064;    132.3;Kelebia                                 ;Bács-Kiskun           ;EOR
        48304; 20120901;20250606; 46.2964;  19.5239;    125.0;Kisszállás külterület                   ;Bács-Kiskun           ;EOR
        48507; 20140611;20250606; 46.0378;  19.1997;    110.3;Katymár                                 ;Bács-Kiskun           ;EOR
        51407; 20120901;20250606; 48.5650;  20.8428;    166.0;Hidvégardó                              ;Borsod-Abaúj-Zemplén  ;EOR
        51705; 19960918;20250606; 48.4953;  20.5361;    307.9;Jósvafő                                 ;Borsod-Abaúj-Zemplén  ;EOR
        51812; 20210603;20250606; 48.4414;  20.9458;    227.0;Gagybátor                               ;Borsod-Abaúj-Zemplén  ;EOR
        52213; 20120901;20250606; 48.2889;  20.3419;    149.0;Bánréve                                 ;Borsod-Abaúj-Zemplén  ;EOR
        52309; 20001019;20221201; 48.2869;  20.7419;    130.6;Edelény                                 ;Borsod-Abaúj-Zemplén  ;EOR
        52313; 20221201;20250606; 48.2872;  20.7414;    130.6;Edelény                                 ;Borsod-Abaúj-Zemplén  ;EOR
        52409; 20210811;20250606; 48.2078;  20.9514;    120.0;Szikszó Vízmű                           ;Borsod-Abaúj-Zemplén  ;EOR
        52523; 19981231;20250606; 48.1414;  20.0558;    224.6;Zabar                                   ;Nógrád                ;EOR
        52614; 20210708;20250606; 48.1442;  20.3736;    278.0;Lénárddaróc                             ;Borsod-Abaúj-Zemplén  ;EOR
        52733; 19981204;20250606; 48.1219;  20.5244;    751.4;Miskolc Szentlélek                      ;Borsod-Abaúj-Zemplén  ;EOR
        52744; 20130627;20250606; 48.0947;  20.7267;    161.0;Miskolc Diósgyőr                        ;Borsod-Abaúj-Zemplén  ;EOR
        52819; 19970624;20130627; 48.0969;  20.7714;    231.8;Miskolc Avas                            ;Borsod-Abaúj-Zemplén  ;EOR
        52824; 20120901;20250606; 48.0958;  20.9475;    108.0;Hernádkak Belegrád                      ;Borsod-Abaúj-Zemplén  ;EOR
        53101; 19950514;20250606; 47.8722;  20.0128;   1010.8;Kékestető                               ;Heves                 ;EOR
        53124; 20120901;20250606; 47.8575;  20.2125;    136.0;Verpelét                                ;Heves                 ;EOR
        53206; 19990514;20060615; 47.9036;  20.3861;    219.9;Eger                                    ;Heves                 ;EOR
        53215; 20060615;20250606; 47.9039;  20.3889;    224.2;Eger                                    ;Heves                 ;EOR
        53315; 20120901;20250606; 47.8481;  20.5553;    141.0;Mezőkövesd víztározó                    ;Borsod-Abaúj-Zemplén  ;EOR
        53406; 20120901;20250606; 47.9481;  20.8761;     98.0;Hejőszalonta                            ;Borsod-Abaúj-Zemplén  ;EOR
        53407; 20210906;20250606; 47.8425;  20.8058;     97.0;Gelej                                   ;Borsod-Abaúj-Zemplén  ;EOR
        53521; 20001130;20250606; 47.7397;  20.2358;    122.3;Kompolt                                 ;Heves                 ;EOR
        53525; 20120901;20250606; 47.6669;  20.1481;     86.0;Tarnaméra                               ;Heves                 ;EOR
        53614; 20120901;20250606; 47.6739;  20.3206;    105.0;Erdőtelek                               ;Heves                 ;EOR
