Dátum,Energiafogyasztás
2016-10-28,127.57
2016-10-29,117.43
2016-10-30,112.67
2016-10-31,108.28
2016-11-01,101.89
2016-11-02,122.63
2016-11-03,128.05
2016-11-04,129.27
2016-11-05,120.82
2016-11-06,112.36
2016-11-07,126.42
2016-11-08,130.88
2016-11-09,130.74
2016-11-10,132.37
2016-11-11,131.29
2016-11-12,123.82
2016-11-13,116.05
2016-11-14,130.93
2016-11-15,134.56
2016-11-16,136.29
2016-11-17,135.89
2016-11-18,132.67
2016-11-19,120.52
2016-11-20,112.6
2016-11-21,126.72
2016-11-22,129.37
2016-11-23,131.08
2016-11-24,132.34
2016-11-25,132.26
2016-11-26,120.62
2016-11-27,114.91
2016-11-28,130.38
2016-11-29,135.48
2016-11-30,136.85
2016-12-01,137.87
2016-12-02,134.7
2016-12-03,124.7
2016-12-04,119.92
2016-12-05,135.79
2016-12-06,140.82
2016-12-07,139.89
2016-12-08,143.08
2016-12-09,139.73
2016-12-10,126.04
2016-12-11,118.63
2016-12-12,132.98
2016-12-13,136.22
2016-12-14,139.34
2016-12-15,139.19
2016-12-16,135.87
2016-12-17,129.32
2016-12-18,124.01
2016-12-19,135.52
2016-12-20,135.21
2016-12-21,135.25
2016-12-22,131.66
2016-12-23,126.45
2016-12-24,114.92
2016-12-25,105.53
2016-12-26,103.03
2016-12-27,111.36
2016-12-28,114.49
2016-12-29,115.29
2016-12-30,115.19
2016-12-31,112.32
2017-01-01,108.53
2017-01-02,129.76
2017-01-03,133.45
2017-01-04,136.85
2017-01-05,137.16
2017-01-06,140.33
2017-01-07,131.09
2017-01-08,127.19
2017-01-09,141.13
2017-01-10,145.15
2017-01-11,145.74
2017-01-12,145.09
2017-01-13,144.06
2017-01-14,129.55
2017-01-15,123.56
2017-01-16,140.04
2017-01-17,142.24
2017-01-18,142.18
2017-01-19,143.29
2017-01-20,143.78
2017-01-21,134.01
2017-01-22,127.59
2017-01-23,143.08
2017-01-24,146.14
2017-01-25,145.99
2017-01-26,143.7
2017-01-27,146.78
2017-01-28,135.76
2017-01-29,128.54
2017-01-30,143.69
2017-01-31,145.97
2017-02-01,143.12
2017-02-02,140.39
2017-02-03,135.34
2017-02-04,124.39
2017-02-05,117.01
2017-02-06,132.38
2017-02-07,136.01
2017-02-08,137.47
2017-02-09,139.18
2017-02-10,137.29
2017-02-11,126.32
2017-02-12,119.8
2017-02-13,134.86
2017-02-14,138.84
2017-02-15,139.87
2017-02-16,141.13
2017-02-17,140.18
2017-02-18,127.23
2017-02-19,119.3
2017-02-20,134.07
2017-02-21,135.59
2017-02-22,133.49
2017-02-23,132.2
2017-02-24,131.54
2017-02-25,120.38
2017-02-26,114.83
2017-02-27,127.89
2017-02-28,128.14
2017-03-01,131.39
2017-03-02,130.98
2017-03-03,128.4
2017-03-04,117.65
2017-03-05,112.61
2017-03-06,126.4
2017-03-07,129.27
2017-03-08,129.58
2017-03-09,131.66
2017-03-10,131.84
2017-03-11,119.71
2017-03-12,113.34
2017-03-13,124.82
2017-03-14,127.16
2017-03-15,109.63
2017-03-16,122.72
2017-03-17,125.49
2017-03-18,119.5
2017-03-19,111.47
2017-03-20,124.17
2017-03-21,126.28
2017-03-22,124.63
2017-03-23,124.71
2017-03-24,123.81
2017-03-25,113.6
2017-03-26,104.31
2017-03-27,122.4
2017-03-28,124.05
2017-03-29,124.84
2017-03-30,124.12
2017-03-31,122.05
2017-04-01,110.71
2017-04-02,104.21
2017-04-03,117.23
2017-04-04,120.41
2017-04-05,121.23
2017-04-06,123.79
2017-04-07,124.82
2017-04-08,112.7
2017-04-09,105.14
2017-04-10,118.51
2017-04-11,121.48
2017-04-12,122.64
2017-04-13,122.96
2017-04-14,104.09
2017-04-15,103.34
2017-04-16,96.06
2017-04-17,93.47
2017-04-18,120.03
2017-04-19,130.71
2017-04-20,131.44
2017-04-21,126.27
2017-04-22,117.13
2017-04-23,108.62
2017-04-24,120.24
2017-04-25,122.46
2017-04-26,122.87
2017-04-27,124.01
2017-04-28,123.82
2017-04-29,113.67
2017-04-30,104.77
2017-05-01,98.07
2017-05-02,116.01
2017-05-03,122.38
2017-05-04,120.68
2017-05-05,120.9
2017-05-06,109.74
2017-05-07,104.49
2017-05-08,117.22
2017-05-09,121.24
2017-05-10,120.97
2017-05-11,121.05
2017-05-12,120.26
2017-05-13,110.27
2017-05-14,103.44
2017-05-15,116.14
2017-05-16,119.94
2017-05-17,119.88
2017-05-18,120.73
2017-05-19,119.5
2017-05-20,109.68
2017-05-21,102.84
2017-05-22,116.86
2017-05-23,121.46
2017-05-24,121.28
2017-05-25,119.59
2017-05-26,119.48
2017-05-27,108.99
2017-05-28,102.65
2017-05-29,117.52
2017-05-30,122.96
2017-05-31,125.62
2017-06-01,125.94
2017-06-02,123.7
2017-06-03,113.33
2017-06-04,100.28
2017-06-05,98.52
2017-06-06,120.86
2017-06-07,121.93
2017-06-08,121.17
2017-06-09,121.61
2017-06-10,110.87
2017-06-11,104.8
2017-06-12,121.54
2017-06-13,125.72
2017-06-14,124.22
2017-06-15,124.65
2017-06-16,123.35
2017-06-17,108.16
2017-06-18,103.25
2017-06-19,119.61
2017-06-20,125.51
2017-06-21,129.44
2017-06-22,131.43
2017-06-23,129.87
2017-06-24,117.69
2017-06-25,109.41
2017-06-26,123.29
2017-06-27,129.04
2017-06-28,133.05
2017-06-29,128.69
2017-06-30,126.75
2017-07-01,112.1
2017-07-02,104.92
2017-07-03,119.6
2017-07-04,122.79
2017-07-05,127.13
2017-07-06,129.18
2017-07-07,126.98
2017-07-08,116.4
2017-07-09,110.67
2017-07-10,129.15
2017-07-11,129.8
2017-07-12,128.68
2017-07-13,124.12
2017-07-14,119.67
2017-07-15,107.08
2017-07-16,99.05
2017-07-17,115.29
2017-07-18,121.13
2017-07-19,124.22
2017-07-20,127.2
2017-07-21,127.02
2017-07-22,114.03
2017-07-23,108.31
2017-07-24,119.72
2017-07-25,114.52
2017-07-26,114.28
2017-07-27,113.81
2017-07-28,114.65
2017-07-29,104.9
2017-07-30,101.69
2017-07-31,119.34
2017-08-01,125.94
2017-08-02,128.23
2017-08-03,131.1
2017-08-04,132.44
2017-08-05,120.41
2017-08-06,110.94
2017-08-07,114.35
2017-08-08,117.5
2017-08-09,125.93
2017-08-10,131.87
2017-08-11,130.2
2017-08-12,111.74
2017-08-13,102.46
2017-08-14,116.22
2017-08-15,121.1
2017-08-16,123.39
2017-08-17,126.46
2017-08-18,127.18
2017-08-19,113.46
2017-08-20,99.3
2017-08-21,114.3
2017-08-22,119.57
2017-08-23,120.74
2017-08-24,121.94
2017-08-25,125.16
2017-08-26,117.3
2017-08-27,112.2
2017-08-28,123.84
2017-08-29,124.97
2017-08-30,125.27
2017-08-31,127.43
2017-09-01,126.1
2017-09-02,112.07
2017-09-03,105.17
2017-09-04,117.93
2017-09-05,121.26
2017-09-06,122.9
2017-09-07,124.73
2017-09-08,121.98
2017-09-09,112.08
2017-09-10,107.37
2017-09-11,123.62
2017-09-12,124.95
2017-09-13,123.68
2017-09-14,125.26
2017-09-15,122.86
2017-09-16,112.81
2017-09-17,108.04
2017-09-18,119.17
2017-09-19,126.6
2017-09-20,127.55
2017-09-21,130.02
2017-09-22,125.82
2017-09-23,116.24
2017-09-24,108.95
2017-09-25,122.52
2017-09-26,125.32
2017-09-27,126.35
2017-09-28,126.65
2017-09-29,125.66
2017-09-30,116.79
2017-10-01,108.7
2017-10-02,122.7
2017-10-03,128
2017-10-04,126.87
2017-10-05,128.53
2017-10-06,127.53
2017-10-07,115.89
2017-10-08,110.89
2017-10-09,124.46
2017-10-10,128.22
2017-10-11,127.85
2017-10-12,128.1
2017-10-13,126.32
2017-10-14,116.51
2017-10-15,109.63
2017-10-16,124.14
2017-10-17,126.57
2017-10-18,127.09
2017-10-19,127.33
2017-10-20,127.4
2017-10-21,117.14
2017-10-22,109.79
