21.2.1.8. A bruttó hazai termék (GDP) termelése 2021. évi átlagáron, nemzetgazdasági áganként, szezonálisan és naptárhatással kiigazított és kiegyensúlyozott negyedéves adatok [millió forint];;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
;IV.;509 067;2 668 122;2 317 701;665 865;7 723 887;1 414 477;656 857;515 157;434 300;1 220 771;1 115 742;2 017 369;334 245;2 112 364;13 728 248
2020.;I.;474 951;2 622 400;2 265 097;778 104;7 721 420;1 426 503;681 298;534 895;425 325;1 226 991;1 141 538;1 986 997;327 871;2 108 605;13 684 000
;II.;470 448;2 047 674;1 744 218;609 703;6 760 639;1 166 319;530 806;490 908;431 708;1 208 400;927 752;1 804 655;257 351;1 826 168;11 703 590
;III.;471 653;2 579 267;2 248 913;604 342;7 367 376;1 283 665;572 267;528 257;435 970;1 221 142;1 021 451;1 978 287;283 712;2 071 790;13 081 013
;IV.;474 373;2 618 761;2 285 604;633 494;7 463 085;1 346 132;568 113;557 023;442 164;1 220 374;1 074 646;1 971 801;289 757;2 076 833;13 313 161
2021.;I.;476 920;2 608 088;2 294 939;665 856;7 682 183;1 434 592;574 957;595 123;467 789;1 207 099;1 139 906;1 960 408;306 410;2 054 949;13 478 813
;II.;488 535;2 628 641;2 317 817;737 334;7 820 555;1 489 431;601 178;609 506;474 429;1 229 956;1 179 292;1 959 414;307 125;2 105 205;13 780 491
;III.;487 547;2 529 724;2 244 087;728 450;8 093 050;1 535 929;629 924;643 786;484 628;1 248 373;1 215 910;1 980 732;322 377;2 141 049;13 947 238
;IV.;468 185;2 565 774;2 271 625;755 357;8 277 913;1 580 788;659 510;662 050;489 924;1 266 328;1 275 113;2 007 168;334 543;2 186 906;14 293 615
2022.;I.;422 986;2 601 428;2 361 796;763 696;8 435 196;1 584 144;693 197;654 458;481 727;1 320 583;1 288 851;2 061 700;385 802;2 213 339;14 477 007
;II.;322 462;2 643 990;2 388 914;739 676;8 672 266;1 604 481;713 541;676 411;482 906;1 351 147;1 335 738;2 076 570;398 851;2 228 669;14 621 436
;III.;317 920;2 621 519;2 388 062;729 882;8 636 388;1 573 904;703 356;668 767;479 640;1 378 299;1 349 136;2 079 076;386 447;2 237 115;14 459 768
;IV.;348 159;2 589 909;2 367 791;747 712;8 572 167;1 546 259;709 143;668 188;473 811;1 395 477;1 344 449;2 068 386;381 572;2 035 324;14 319 367
2023.;I.;449 309;2 510 633;2 295 746;681 564;8 500 663;1 541 385;668 115;688 984;461 139;1 402 852;1 346 677;2 037 545;376 177;2 079 012;14 266 601
;II.;470 876;2 520 552;2 308 378;663 527;8 547 386;1 504 657;681 125;705 139;455 523;1 430 555;1 343 607;2 037 384;372 280;2 072 055;14 290 872
;III.;523 045;2 557 680;2 341 299;693 144;8 553 089;1 516 814;675 071;723 236;451 275;1 436 711;1 342 429;2 036 915;371 720;2 096 135;14 488 665
;IV.;522 767;2 467 427;2 249 843;695 011;8 644 131;1 520 173;692 276;738 240;451 719;1 453 314;1 348 455;2 045 976;377 120;2 099 869;14 434 433
2024.;I.;458 717;2 490 086;2 251 499;698 481;8 694 440;1 528 344;695 497;748 168;459 917;1 451 947;1 365 438;2 061 702;382 544;2 112 859;14 495 964
;II.;446 599;2 436 157;2 211 161;689 777;8 730 104;1 548 473;693 501;738 413;462 342;1 451 640;1 368 684;2 068 685;386 697;2 129 213;14 465 030
;III.;429 465;2 434 220;2 190 392;661 812;8 711 770;1 550 161;691 426;743 568;465 423;1 448 192;1 376 471;2 075 357;393 500;2 134 636;14 369 939
;IV.;430 367;2 405 312;2 152 958;665 732;8 812 378;1 563 819;699 059;751 204;468 220;1 447 206;1 384 779;2 082 169;394 169;2 128 331;14 455 114
2025.;I.;450 143;2 350 275;2 107 849;658 521;8 793 310;1 570 857;705 009;749 039;468 365;1 439 637;1 382 272;2 085 760;396 075;2 133 806;14 433 163
;II.;;;;;;;;;;;;;;;
;III.;;;;;;;;;;;;;;;
;IV.;;;;;;;;;;;;;;;
2024.;I–IV.;1 765 148;9 765 775;8 806 010;2 715 802;34 948 692;6 190 797;2 779 483;2 981 353;1 855 902;5 798 985;5 495 372;8 287 913;1 556 910;8 505 039;57 786 047
