20.2.1.2. A 15–74 éves népesség gazdasági aktivitása nemenként, havonta;;;;;;;;;
Év;Hónap;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;
;május;4 470,1;227,8;4 697,9;2 806,1;7 504,0;62,6;4,8;59,6
;június;4 513,8;216,3;4 730,1;2 781,9;7 512,0;63,0;4,6;60,1
;július;4 521,2;220,5;4 741,7;2 767,8;7 509,5;63,1;4,6;60,2
;augusztus;4 523,4;212,9;4 736,3;2 770,9;7 507,2;63,1;4,5;60,3
;szeptember;4 526,6;209,9;4 736,5;2 768,3;7 504,7;63,1;4,4;60,3
;október;4 548,3;203,9;4 752,2;2 750,2;7 502,4;63,3;4,3;60,6
;november;4 538,3;196,0;4 734,3;2 765,4;7 499,6;63,1;4,1;60,5
;december;4 518,8;193,6;4 712,4;2 784,4;7 496,9;62,9;4,1;60,3
2017.;január;4 517,0;203,5;4 720,5;2 772,7;7 493,2;63,0;4,3;60,3
;február;4 475,1;208,7;4 683,9;2 796,0;7 479,9;62,6;4,5;59,8
;március;4 495,5;214,8;4 710,3;2 768,8;7 479,0;63,0;4,6;60,1
;április;4 517,3;214,5;4 731,8;2 739,3;7 471,1;63,3;4,5;60,5
;május;4 534,5;197,0;4 731,5;2 732,2;7 463,7;63,4;4,2;60,8
;június;4 564,6;192,6;4 757,1;2 703,2;7 460,3;63,8;4,0;61,2
;július;4 573,3;189,8;4 763,1;2 692,8;7 456,0;63,9;4,0;61,3
;augusztus;4 573,9;185,1;4 759,1;2 693,1;7 452,2;63,9;3,9;61,4
;szeptember;4 582,4;182,9;4 765,3;2 682,7;7 448,0;64,0;3,8;61,5
;október;4 581,0;175,2;4 756,2;2 688,0;7 444,2;63,9;3,7;61,5
;november;4 577,4;172,3;4 749,7;2 690,9;7 440,6;63,8;3,6;61,5
;december;4 578,2;168,4;4 746,7;2 689,3;7 436,0;63,8;3,5;61,6
2018.;január;4 539,7;175,3;4 715,1;2 689,5;7 404,6;63,7;3,7;61,3
;február;4 551,7;184,1;4 735,8;2 666,9;7 402,8;64,0;3,9;61,5
;március;4 552,0;180,6;4 732,6;2 668,4;7 401,0;63,9;3,8;61,5
;április;4 593,2;166,8;4 760,0;2 639,2;7 399,2;64,3;3,5;62,1
;május;4 596,7;155,9;4 752,5;2 644,8;7 397,3;64,2;3,3;62,1
;június;4 618,7;154,2;4 773,0;2 622,5;7 395,5;64,5;3,2;62,5
;július;4 604,9;171,1;4 776,1;2 617,7;7 393,8;64,6;3,6;62,3
;augusztus;4 629,6;166,7;4 796,2;2 595,6;7 391,8;64,9;3,5;62,6
;szeptember;4 604,0;166,3;4 770,3;2 619,7;7 390,0;64,6;3,5;62,3
;október;4 632,0;159,4;4 791,4;2 596,9;7 388,3;64,9;3,3;62,7
;november;4 616,5;159,0;4 775,5;2 611,0;7 386,4;64,7;3,3;62,5
;december;4 607,5;155,7;4 763,1;2 621,5;7 384,6;64,5;3,3;62,4
2019.;január;4 582,9;162,0;4 744,9;2 637,9;7 382,8;64,3;3,4;62,1
;február;4 618,8;169,1;4 787,9;2 592,7;7 380,7;64,9;3,5;62,6
;március;4 611,7;170,3;4 782,0;2 596,4;7 378,4;64,8;3,6;62,5
;április;4 599,3;162,5;4 761,8;2 614,5;7 376,2;64,6;3,4;62,4
;május;4 621,4;156,1;4 777,5;2 596,6;7 374,1;64,8;3,3;62,7
;június;4 630,6;153,2;4 783,8;2 588,1;7 371,8;64,9;3,2;62,8
;július;4 644,0;155,4;4 799,4;2 570,3;7 369,7;65,1;3,2;63,0
;augusztus;4 639,5;154,0;4 793,6;2 574,0;7 367,6;65,1;3,2;63,0
;szeptember;4 628,7;154,4;4 783,1;2 582,3;7 365,3;64,9;3,2;62,8
;október;4 638,2;149,1;4 787,3;2 575,9;7 363,2;65,0;3,1;63,0
;november;4 633,6;147,3;4 780,9;2 580,1;7 361,1;64,9;3,1;62,9
;december;4 628,9;140,0;4 769,0;2 589,9;7 358,8;64,8;2,9;62,9
2020.;január;4 538,0;152,1;4 690,1;2 666,6;7 356,7;63,8;3,2;61,7
;február;4 602,7;160,3;4 763,0;2 590,6;7 353,6;64,8;3,4;62,6
;március;4 602,0;166,2;4 768,1;2 582,4;7 350,5;64,9;3,5;62,6
;április;4 434,1;198,1;4 632,1;2 715,4;7 347,5;63,0;4,3;60,3
;május;4 471,8;221,6;4 693,5;2 651,0;7 344,4;63,9;4,7;60,9
;június;4 565,5;234,0;4 799,5;2 541,8;7 341,4;65,4;4,9;62,2
;július;4 586,5;214,4;4 800,9;2 537,3;7 338,3;65,4;4,5;62,5
;augusztus;4 588,6;206,9;4 795,5;2 539,7;7 335,2;65,4;4,3;62,6
;szeptember;4 581,2;203,5;4 784,7;2 547,4;7 332,1;65,3;4,3;62,5
;október;4 583,3;198,0;4 781,3;2 547,8;7 329,1;65,2;4,1;62,5
;november;4 591,0;198,7;4 789,6;2 536,3;7 326,0;65,4;4,1;62,7
;december;4 548,9;200,4;4 749,2;2 573,7;7 322,9;64,9;4,2;62,1
2021.;január;4 504,3;208,8;4 713,0;2 606,8;7 319,8;64,4;4,4;61,5
;február;4 533,4;209,9;4 743,3;2 573,7;7 316,9;64,8;4,4;62,0
;március;4 551,9;207,6;4 759,5;2 554,6;7 314,1;65,1;4,4;62,2
;április;4 550,4;200,3;4 750,7;2 560,5;7 311,2;65,0;4,2;62,2
