Név,Dátum,Utolsó ár
BUX,2011.01.10.,22153.63
BUX,2011.01.11.,22260.32
BUX,2011.01.12.,22483.65
BUX,2011.01.13.,22389.56
BUX,2011.01.14.,22262.05
BUX,2011.01.17.,22356.09
BUX,2011.01.18.,22840.49
BUX,2011.01.19.,22895.8
BUX,2011.01.20.,22733.67
BUX,2011.01.21.,22972.18
BUX,2011.01.24.,22984.6
BUX,2011.01.25.,22790.97
BUX,2011.01.26.,23148.98
BUX,2011.01.27.,23246.88
BUX,2011.01.28.,22850.01
BUX,2011.01.31.,22709.35
BUX,2011.02.01.,23086.45
BUX,2011.02.02.,23099.44
BUX,2011.02.03.,22945.21
BUX,2011.02.04.,23263.12
BUX,2011.02.07.,23541.92
BUX,2011.02.08.,23032.94
BUX,2011.02.09.,22623.24
BUX,2011.02.10.,22083.99
BUX,2011.02.11.,22369.95
BUX,2011.02.14.,22551.97
BUX,2011.02.15.,22372.47
BUX,2011.02.16.,22529.86
BUX,2011.02.17.,22573.77
BUX,2011.02.18.,22513.74
BUX,2011.02.21.,22363.85
BUX,2011.02.22.,22573.15
BUX,2011.02.23.,22352.78
BUX,2011.02.24.,22537.64
BUX,2011.02.25.,23046.76
BUX,2011.02.28.,23155.5
BUX,2011.03.01.,22737.16
BUX,2011.03.02.,22626.71
BUX,2011.03.03.,22825.94
BUX,2011.03.04.,22935.89
BUX,2011.03.07.,22941.41
BUX,2011.03.08.,22633.25
BUX,2011.03.09.,22288.65
BUX,2011.03.10.,22098.12
BUX,2011.03.11.,22239.37
BUX,2011.03.16.,21900.39
BUX,2011.03.17.,22280.31
BUX,2011.03.18.,22161.16
BUX,2011.03.21.,22554.46
BUX,2011.03.22.,22532.92
BUX,2011.03.23.,22422.25
BUX,2011.03.24.,22840.88
BUX,2011.03.25.,23030.38
BUX,2011.03.28.,22850.17
BUX,2011.03.29.,22750.58
BUX,2011.03.30.,23035.71
BUX,2011.03.31.,23059.77
BUX,2011.04.01.,23632.05
BUX,2011.04.04.,23553.14
BUX,2011.04.05.,23593.31
BUX,2011.04.06.,24336.56
BUX,2011.04.07.,24451.38
BUX,2011.04.08.,24432.5
BUX,2011.04.11.,24375.53
BUX,2011.04.12.,23747.19
BUX,2011.04.13.,23885.5
BUX,2011.04.14.,23766.05
BUX,2011.04.15.,24193.64
BUX,2011.04.18.,23285.05
BUX,2011.04.19.,23600.7
BUX,2011.04.20.,23989.53
BUX,2011.04.21.,24089.61
BUX,2011.04.22.,23964.46
BUX,2011.04.26.,24165.83
BUX,2011.04.27.,24111.03
BUX,2011.04.28.,24277.27
BUX,2011.04.29.,24161.56
BUX,2011.05.02.,24272.08
BUX,2011.05.03.,23794.72
BUX,2011.05.04.,23653.09
BUX,2011.05.05.,23670.8
BUX,2011.05.06.,23712.37
BUX,2011.05.09.,23614.21
BUX,2011.05.10.,23783.3
BUX,2011.05.11.,23627.56
BUX,2011.05.12.,23366.92
BUX,2011.05.13.,23337.5
BUX,2011.05.16.,23147.84
BUX,2011.05.17.,22979.54
BUX,2011.05.18.,23058.16
BUX,2011.05.19.,22835.24
BUX,2011.05.20.,22624.5
BUX,2011.05.23.,22463.57
BUX,2011.05.24.,23061.29
BUX,2011.05.25.,22779.23
BUX,2011.05.26.,22867.24
BUX,2011.05.27.,23058.85
BUX,2011.05.30.,22786.92
BUX,2011.05.31.,23376.19
BUX,2011.06.01.,23298.34
BUX,2011.06.02.,23374.98
BUX,2011.06.03.,23076.01
BUX,2011.06.06.,23036.76
BUX,2011.06.07.,23162.93
BUX,2011.06.08.,23195.04
BUX,2011.06.09.,23213.21
BUX,2011.06.10.,23002.59
BUX,2011.06.14.,23146.33
BUX,2011.06.15.,22823.59
BUX,2011.06.16.,22674.66
BUX,2011.06.17.,22701.93
BUX,2011.06.20.,22488.08
BUX,2011.06.21.,22482.63
BUX,2011.06.22.,22539.17
BUX,2011.06.23.,22304.4
BUX,2011.06.24.,22378.79
BUX,2011.06.27.,22484.6
BUX,2011.06.28.,22610.62
BUX,2011.06.29.,22701.75
BUX,2011.06.30.,22693.74
BUX,2011.07.01.,22830.37
BUX,2011.07.04.,22632.55
BUX,2011.07.05.,22376.82
BUX,2011.07.06.,22115.37
BUX,2011.07.07.,22484.43
BUX,2011.07.08.,22314.15
BUX,2011.07.11.,21815.8
BUX,2011.07.12.,21768.76
BUX,2011.07.13.,22276.1
BUX,2011.07.14.,22153.01
BUX,2011.07.15.,22089.12
BUX,2011.07.18.,21277.43
BUX,2011.07.19.,21353.6
BUX,2011.07.20.,21503.95
BUX,2011.07.21.,21927.69
BUX,2011.07.22.,21890.7
BUX,2011.07.25.,21869.36
BUX,2011.07.26.,21724.7
BUX,2011.07.27.,21418.71
BUX,2011.07.28.,21322.5
BUX,2011.07.29.,21617.93
BUX,2011.08.01.,21133.02
BUX,2011.08.02.,20811.31
BUX,2011.08.03.,20527.3
BUX,2011.08.04.,20067.15
BUX,2011.08.05.,19733.14
BUX,2011.08.08.,19112.42
BUX,2011.08.09.,18638.62
BUX,2011.08.10.,17381.28
BUX,2011.08.11.,17746.91
BUX,2011.08.12.,18032.49
BUX,2011.08.15.,18840.19
BUX,2011.08.16.,18321.89
BUX,2011.08.17.,18630.97
BUX,2011.08.18.,18103.6
BUX,2011.08.19.,17780.92
BUX,2011.08.22.,18105.79
BUX,2011.08.23.,18133.58
BUX,2011.08.24.,18000.67
BUX,2011.08.25.,17772.67
BUX,2011.08.26.,17839.86
BUX,2011.08.29.,18315.83
BUX,2011.08.30.,18091.21
BUX,2011.08.31.,18471.25
BUX,2011.09.01.,18264.8
BUX,2011.09.02.,18233.03
BUX,2011.09.05.,17679.52
BUX,2011.09.06.,17846.91
BUX,2011.09.07.,18486.05
BUX,2011.09.08.,18166.97
BUX,2011.09.09.,17041.97
BUX,2011.09.12.,16540.74
BUX,2011.09.13.,16489.35
BUX,2011.09.14.,16629.75
BUX,2011.09.15.,16798.21
BUX,2011.09.16.,16779.45
BUX,2011.09.19.,16294.6
BUX,2011.09.20.,16331.21
BUX,2011.09.21.,16115.36
BUX,2011.09.22.,15152.54
BUX,2011.09.23.,14940.77
BUX,2011.09.26.,14929.76
BUX,2011.09.27.,15600.68
BUX,2011.09.28.,15612.52
BUX,2011.09.29.,15806.19
BUX,2011.09.30.,15775.1
BUX,2011.10.03.,15509.68
BUX,2011.10.04.,15574.59
BUX,2011.10.05.,16457.64
BUX,2011.10.06.,16710.47
BUX,2011.10.07.,16289.14
BUX,2011.10.10.,16815.58
BUX,2011.10.11.,17012.74
BUX,2011.10.12.,17311.68
BUX,2011.10.13.,17247.09
BUX,2011.10.14.,17448.83
BUX,2011.10.17.,17456.33
BUX,2011.10.18.,17386.69
BUX,2011.10.19.,17461.5
BUX,2011.10.20.,17105.39
BUX,2011.10.21.,17423.33
BUX,2011.10.24.,17766.22
BUX,2011.10.25.,17838.28
BUX,2011.10.26.,17364.63
BUX,2011.10.27.,18027.95
BUX,2011.10.28.,17600.07
BUX,2011.11.02.,16865.49
BUX,2011.11.03.,16700.16
BUX,2011.11.04.,16782.53
BUX,2011.11.07.,16489.31
BUX,2011.11.08.,16672.53
BUX,2011.11.09.,16195.62
BUX,2011.11.10.,16216.33
BUX,2011.11.11.,16931.5
BUX,2011.11.14.,16452.8
