Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"2019-06-23 00:00:00";480;1,5;14,7;17,1;16;2,0
"2019-06-24 00:00:00";395;2,7;24,1;28,3;20;2,1
"2019-06-25 00:00:00";304;2,7;28,4;32,5;26;2,1
"2019-06-26 00:00:00";427;16,4;48,3;73,5;35;2,3
"2019-06-27 00:00:00";391;16,7;48,5;74,2;29;2,4
"2019-06-28 00:00:00";345;2,0;22,1;25,2;15;2,5
"2019-06-29 00:00:00";360;2,8;22,4;26,6;15;2,5
"2019-06-30 00:00:00";327;10,6;43,7;59,9;20;2,1
"2019-07-01 00:00:00";359;10,9;55,8;72,5;30;2,2
"2019-07-02 00:00:00";271;7,7;32,3;44,1;31;2,0
"2019-07-03 00:00:00";292;1,9;24,4;27,3;20;2,1
"2019-07-04 00:00:00";335;2,3;32,4;35,9;21;2,1
"2019-07-05 00:00:00";349;11,7;49,2;67,2;28;1,9
"2019-07-06 00:00:00";330;5,8;41,9;50,8;24;1,8
"2019-07-07 00:00:00";309;2,4;26,6;30,2;19;2,1
"2019-07-08 00:00:00";341;2,6;29,4;33,4;17;2,3
"2019-07-09 00:00:00";381;5,7;48,0;56,7;21;2,4
"2019-07-10 00:00:00";360;2,6;33,3;37,2;17;2,8
"2019-07-11 00:00:00";436;11,3;39,3;56,7;18;2,9
"2019-07-12 00:00:00";431;10,8;51,1;67,7;18;2,7
"2019-07-13 00:00:00";436;5,1;37,2;45,1;17;2,9
"2019-07-14 00:00:00";377;1,8;15,4;18,1;11;2,8
"2019-07-15 00:00:00";325;2,6;25,7;29,7;13;2,4
"2019-07-16 00:00:00";322;3,8;41,3;47,2;18;2,3
"2019-07-17 00:00:00";321;2,7;33,1;37,3;20;2,4
"2019-07-18 00:00:00";326;6,4;40,9;50,7;21;2,3
"2019-07-19 00:00:00";384;13,4;56,9;77,5;25;2,2
"2019-07-20 00:00:00";342;2,9;37,1;41,5;24;2,2
"2019-07-21 00:00:00";308;3,3;35,9;40,9;24;2,1
"2019-07-22 00:00:00";383;2,2;27,5;30,9;16;2,2
"2019-07-23 00:00:00";503;9,3;30,0;44,3;19;2,4
"2019-07-24 00:00:00";408;2,9;24,3;28,8;17;2,1
"2019-07-25 00:00:00";443;7,7;32,9;44,7;20;2,0
"2019-07-26 00:00:00";471;13,2;48,5;68,9;26;2,1
"2019-07-27 00:00:00";446;2,1;22,9;26,1;14;2,3
"2019-07-28 00:00:00";434;2,1;21,2;24,5;17;2,3
"2019-07-29 00:00:00";466;10,0;37,5;52,8;20;2,2
"2019-07-30 00:00:00";449;13,8;44,3;65,5;30;2,2
"2019-07-31 00:00:00";368;4,0;28,6;34,7;27;2,0
"2019-08-01 00:00:00";352;2,8;24,9;29,2;24;2,0
"2019-08-02 00:00:00";452;5,2;37,0;44,9;21;2,3
"2019-08-03 00:00:00";404;1,8;15,3;18,1;16;2,4
"2019-08-04 00:00:00";397;2,3;16,3;19,9;14;2,4
"2019-08-05 00:00:00";477;16,3;53,4;78,5;24;2,3
"2019-08-06 00:00:00";437;23,1;59,7;95,0;28;1,9
"2019-08-07 00:00:00";420;20,7;70,9;102,7;29;1,8
"2019-08-08 00:00:00";354;10,3;47,1;63,0;20;1,7
"2019-08-09 00:00:00";421;26,0;48,5;88,4;26;1,9
"2019-08-10 00:00:00";372;9,7;52,1;66,9;23;1,6
"2019-08-11 00:00:00";298;3,8;29,3;35,1;20;1,6
"2019-08-12 00:00:00";405;14,3;63,1;85,0;35;1,8
"2019-08-13 00:00:00";330;12,0;48,6;67,0;30;1,8
"2019-08-14 00:00:00";269;2,5;22,4;26,3;12;1,7
"2019-08-15 00:00:00";324;3,7;33,2;38,9;;1,7
"2019-08-16 00:00:00";398;18,3;44,2;72,2;21;1,7
"2019-08-17 00:00:00";397;11,0;45,1;62,0;25;1,7
"2019-08-18 00:00:00";360;12,0;44,9;63,3;20;1,7
"2019-08-19 00:00:00";326;7,3;45,0;56,2;23;1,6
"2019-08-20 00:00:00";319;3,1;34,2;39,0;23;1,6
"2019-08-21 00:00:00";314;9,6;38,2;52,9;31;1,7
"2019-08-22 00:00:00";273;1,6;21,5;23,9;15;1,6
"2019-08-23 00:00:00";281;1,8;25,4;28,0;22;1,7
"2019-08-24 00:00:00";298;1,6;21,9;24,3;27;1,7
"2019-08-25 00:00:00";321;2,1;27,9;31,1;32;1,7
"2019-08-26 00:00:00";347;7,9;40,0;52,1;29;1,8
"2019-08-27 00:00:00";365;8,8;47,3;60,8;30;1,8
"2019-08-28 00:00:00";394;10,6;57,0;73,2;35;2,0
"2019-08-29 00:00:00";392;14,7;53,7;76,3;43;1,9
"2019-08-30 00:00:00";317;6,1;38,1;47,5;36;1,9
"2019-08-31 00:00:00";275;1,3;24,2;26,2;34;1,8
"2019-09-01 00:00:00";339;4,5;45,5;52,4;35;2,0
"2019-09-02 00:00:00";374;24,2;56,2;93,3;44;2,3
"2019-09-03 00:00:00";263;3,4;23,1;28,3;15;2,0
"2019-09-04 00:00:00";307;4,9;35,1;42,5;13;1,9
"2019-09-05 00:00:00";317;8,5;39,5;52,5;20;1,8
"2019-09-06 00:00:00";298;3,4;32,0;37,2;22;2,0
"2019-09-07 00:00:00";347;5,1;32,7;40,5;27;2,0
"2019-09-08 00:00:00";360;2,6;30,3;34,4;21;2,3
"2019-09-09 00:00:00";459;32,3;50,1;99,6;24;2,5
"2019-09-10 00:00:00";378;11,1;43,7;60,7;15;2,2
"2019-09-11 00:00:00";364;5,5;37,5;45,9;20;2,2
"2019-09-12 00:00:00";355;4,0;38,0;44,1;23;2,1
"2019-09-13 00:00:00";394;4,3;43,9;50,5;22;2,1
"2019-09-14 00:00:00";322;2,2;21,9;25,4;16;2,1
"2019-09-15 00:00:00";435;15,6;35,8;59,7;19;2,1
"2019-09-16 00:00:00";440;28,0;56,4;99,3;27;2,3
"2019-09-17 00:00:00";420;29,2;44,3;89,2;18;2,3
"2019-09-18 00:00:00";393;9,5;39,5;54,1;14;1,9
"2019-09-19 00:00:00";453;14,7;38,5;61,1;23;2,0
"2019-09-20 00:00:00";519;23,5;39,1;75,1;21;2,2
"2019-09-21 00:00:00";709;48,0;53,0;126,5;35;2,3
"2019-09-22 00:00:00";611;26,8;45,3;86,5;32;2,0
"2019-09-23 00:00:00";539;27,6;45,7;88,0;34;2,0
"2019-09-24 00:00:00";469;15,4;51,1;74,6;35;1,9
"2019-09-25 00:00:00";577;33,6;48,3;99,8;41;2,3
"2019-09-26 00:00:00";557;53,0;46,9;128,1;33;2,5
"2019-09-27 00:00:00";611;72,5;56,3;167,5;24;2,6
"2019-09-28 00:00:00";426;17,8;46,8;74,1;22;2,3
"2019-09-29 00:00:00";395;14,8;40,6;63,4;14;2,1
"2019-09-30 00:00:00";415;35,1;50,3;104,2;20;2,3
"2019-10-01 00:00:00";491;41,6;54,7;118,5;20;2,3
"2019-10-02 00:00:00";623;59,1;71,7;162,4;36;2,7
"2019-10-03 00:00:00";422;10,9;33,9;50,6;14;2,1
"2019-10-04 00:00:00";545;28,2;38,4;81,6;21;2,1
"2019-10-05 00:00:00";585;31,2;44,2;92,1;23;2,1
"2019-10-06 00:00:00";368;2,0;17,0;20,1;10;1,9
"2019-10-07 00:00:00";465;8,2;33,3;45,8;14;2,1
"2019-10-08 00:00:00";593;37,7;57,0;114,8;24;2,4
"2019-10-09 00:00:00";584;44,1;63,1;130,7;34;3,0
"2019-10-10 00:00:00";427;26,6;44,8;85,6;19;2,3
"2019-10-11 00:00:00";493;33,9;48,3;100,4;17;2,2
"2019-10-12 00:00:00";813;52,4;58,2;138,6;35;2,5
"2019-10-13 00:00:00";802;35,0;52,7;106,4;42;2,3
"2019-10-14 00:00:00";872;67,2;68,2;171,3;46;2,7
"2019-10-15 00:00:00";835;65,9;74,8;176,0;53;2,7
"2019-10-16 00:00:00";733;44,6;74,0;142,3;52;3,2
"2019-10-17 00:00:00";692;59,0;54,7;145,2;37;2,6
"2019-10-18 00:00:00";999;94,8;85,6;231,0;71;3,2
"2019-10-19 00:00:00";1027;68,8;73,0;178,6;70;2,8
"2019-10-20 00:00:00";930;57,9;70,5;159,4;72;3,4
"2019-10-21 00:00:00";990;87,2;88,4;222,1;70;4,1
"2019-10-22 00:00:00";1052;97,5;79,0;228,4;75;3,8
"2019-10-23 00:00:00";820;31,1;55,9;103,5;55;2,7
"2019-10-24 00:00:00";883;69,4;71,1;177,6;61;2,9
"2019-10-25 00:00:00";1190;109,1;73,6;241,0;91;3,9
"2019-10-26 00:00:00";1282;105,9;75,3;237,7;90;3,2
"2019-10-27 00:00:00";1234;64,0;67,4;165,5;99;2,7
"2019-10-28 00:00:00";776;37,8;46,8;104,8;63;2,5
"2019-10-29 00:00:00";442;6,2;30,9;40,4;18;2,3
"2019-10-30 00:00:00";448;4,8;28,0;35,3;14;2,2
"2019-10-31 00:00:00";681;38,5;41,5;100,5;24;2,4
"2019-11-01 00:00:00";1145;44,3;48,7;116,7;49;2,3
"2019-11-02 00:00:00";712;26,6;33,2;74,0;21;2,0
"2019-11-03 00:00:00";469;10,5;28,3;44,4;13;1,8
"2019-11-04 00:00:00";460;31,4;40,6;88,7;13;2,1
"2019-11-05 00:00:00";498;33,8;39,1;91,0;16;2,2
"2019-11-06 00:00:00";687;46,6;40,9;112,4;21;2,2
"2019-11-07 00:00:00";619;41,6;35,8;99,6;21;2,1
"2019-11-08 00:00:00";638;29,2;29,9;74,6;17;2,0
"2019-11-09 00:00:00";945;63,2;45,6;142,5;33;2,5
"2019-11-10 00:00:00";552;15,3;29,9;53,3;17;1,9
"2019-11-11 00:00:00";761;50,4;33,5;110,8;24;2,2
"2019-11-12 00:00:00";611;24,9;40,6;78,7;22;2,0
"2019-11-13 00:00:00";583;44,5;43,6;111,8;33;2,4
"2019-11-14 00:00:00";619;39,3;29,6;89,8;26;2,2
"2019-11-15 00:00:00";687;51,8;40,4;119,7;30;2,3
"2019-11-16 00:00:00";625;29,3;41,0;85,8;29;1,9
"2019-11-17 00:00:00";717;24,3;37,2;74,5;34;1,8
"2019-11-18 00:00:00";700;68,4;54,1;159,0;33;2,2
"2019-11-19 00:00:00";617;35,3;52,1;106,3;28;1,9
"2019-11-20 00:00:00";583;34,9;42,4;95,9;26;1,7
"2019-11-21 00:00:00";577;45,0;44,6;113,5;22;2,0
"2019-11-22 00:00:00";785;66,5;36,2;138,2;25;2,4
"2019-11-23 00:00:00";620;26,1;31,8;71,8;20;1,9
"2019-11-24 00:00:00";564;8,6;29,8;43,0;20;1,7
"2019-11-25 00:00:00";718;29,3;37,0;81,9;32;2,0
"2019-11-26 00:00:00";972;69,7;43,2;150,1;49;2,4
"2019-11-27 00:00:00";786;47,2;38,9;111,3;38;2,4
"2019-11-28 00:00:00";444;40,1;36,0;97,4;18;2,7
"2019-11-29 00:00:00";520;54,9;39,4;123,6;15;2,2
"2019-11-30 00:00:00";452;13,4;34,6;55,2;14;1,8
"2019-12-01 00:00:00";1035;66,6;50,9;153,0;42;2,8
"2019-12-02 00:00:00";565;34,5;38,3;91,3;19;2,2
"2019-12-03 00:00:00";604;36,4;39,0;94,8;24;2,4
"2019-12-04 00:00:00";574;28,9;41,6;85,9;23;2,1
"2019-12-05 00:00:00";600;10,8;35,6;52,1;26;2,0
"2019-12-06 00:00:00";777;44,2;38,2;106,0;34;3,0
"2019-12-07 00:00:00";679;33,1;36,7;87,5;38;2,7
"2019-12-08 00:00:00";633;24,3;31,5;68,8;28;2,3
"2019-12-09 00:00:00";968;96,8;48,3;196,7;37;4,5
"2019-12-10 00:00:00";483;11,1;23,0;40,1;19;2,7
"2019-12-11 00:00:00";504;21,6;32,8;65,9;24;2,5
"2019-12-12 00:00:00";702;35,2;33,1;87,0;31;2,5
"2019-12-13 00:00:00";722;58,3;37,8;127,2;24;2,8
"2019-12-14 00:00:00";575;39,5;32,0;92,5;21;2,6
"2019-12-15 00:00:00";498;26,4;34,7;75,2;19;4,6
"2019-12-16 00:00:00";621;76,0;50,1;166,6;30;5,4
"2019-12-17 00:00:00";422;37,5;45,8;103,3;25;8,2
"2019-12-18 00:00:00";670;69,5;50,4;157,0;38;6,5
"2019-12-19 00:00:00";825;66,5;47,4;149,5;49;4,8
"2019-12-20 00:00:00";639;50,1;46,6;123,4;39;3,8
"2019-12-21 00:00:00";334;16,0;34,6;59,2;22;3,3
"2019-12-22 00:00:00";240;8,9;27,8;41,4;13;2,2
"2019-12-23 00:00:00";388;27,5;30,6;72,8;12;2,4
"2019-12-24 00:00:00";300;8,9;22,1;35,7;8;2,0
"2019-12-25 00:00:00";450;29,9;34,6;80,5;18;2,1
"2019-12-26 00:00:00";492;28,7;29,6;73,6;18;2,1
"2019-12-27 00:00:00";515;35,0;33,4;87,0;21;2,2
"2019-12-28 00:00:00";255;3,8;11,2;17,1;7;2,0
"2019-12-29 00:00:00";329;3,3;10,6;15,7;9;2,2
"2019-12-30 00:00:00";495;20,5;31,8;63,2;22;2,7
"2019-12-31 00:00:00";492;22,8;25,9;60,9;27;3,4
